Set,Qty,Name,Text,Type,Faction / Color,Cost,Defense,Other,Role,Notes,Artist
Ancestry,1,Dwarf,,Ancestry,,,,Health +6,Avatar,,Antonis Papantoniou
Ancestry,1,Hammer Strike,"{Sacrifice}: Stun a guard champion. <i>(In campaigns, stun a minion in your area instead.)</i>",Dwarf Ability,,,,,Personal Deck,,L. Sean
Ancestry,1,Hammer,{Gain 3 combat} ,Dwarf Item ◆ Melee Weapon ◆ Hammer,,,,,Personal Deck,,Robert Ardy
Ancestry,1,Pick,"{Gain 2 combat} 
<i>or</i>
Acquire a gem with cost {2 gold} or less for free.",Dwarf Item ◆ Melee Weapon ◆ Pick,,,,,Personal Deck,,Kingsley Calungcagin
Ancestry,1,Elf,Draw one less card in your opening hand.,Ancestry,,,,Health -8,Avatar,,Shen Fei
Ancestry,1,Elven Wisdom,{Expand and pay 2 gold}: You may discard a card to draw a card.,Elf Skill,,,,,Personal Deck,,Isuardi Therianto
Ancestry,1,Elven Grace,"Your skill cards cost {1 gold} less to use this turn.
Draw a card.",Elf Action,,,,,Personal Deck,,Antonis Papantoniou
Ancestry,1,Sunstone Brooch,"<i>Replaces: Gold</i>
{Gain 1 gold} <i>or</i> {Gain 2 health} ",Elf Item ◆ Magic Jewelry,,,,,Personal Deck,,Ksenia Kozhevnikova
Ancestry,1,Ogre,Cards in the market cost you an additional {1 gold} to acquire. <i>(Fire Gems are not in the market.)</i>,Ancestry,,,,Health +10,Avatar,,Isuardi Therianto
Ancestry,1,Crush You!,{Sacrifice}: {Gain 4 combat},Ogre Ability,,,,,Personal Deck,,Vaggelis Manousakas
Ancestry,1,Shiny Rock,"<i>Replaces: Gold</i>
{Gain 2 gold}",Ogre Item ◆ Currency,,,,,Personal Deck,,Kenneth Alimagno
Ancestry,1,War Club,{Gain 5 combat} ,Ogre Item ◆ Melee Weapon ◆ Club,,,,,Personal Deck,,Robert Ardy
Ancestry,1,Orc,You may not acquire the card closest to the market deck.,Ancestry,,,,Health +4,Avatar,,Jean Baptiste Andrier
Ancestry,1,Battle Rage,{Sacrifice}: You may spend {Gold} as {Combat} this turn.,Orc Ability,,,,,Personal Deck,,L. Sean
Ancestry,1,Bully,You may acquire a card with cost {3 gold} or less for free.,Orc Action,,,,,Personal Deck,,Apsara
Ancestry,1,Ragged Blade,"<i>Replaces: Gold</i>
{Gain 3 combat}",Orc Item ◆ Melee Weapon ◆ Sword,,,,,Personal Deck,,Philip Svantesson
Ancestry,1,Smallfolk,,,,,,Health -15,Avatar,,David Gaillet
Ancestry,1,Hide,"If your {Health} would drop to 0 or less, instead sacrifice this card, set your {Health} to 5, and your {Health} can't be lowered this turn. ",Smallfolk Ability,,,,,Personal Deck,,Robert Ardy
Ancestry,1,Burgle,"The next card you acquire this turn costs {1 gold} less if there is a higher cost card in the market.
Draw a card.",Smallfolk Action,,,,,Personal Deck,,Siregar
Ancestry,1,Friendly Banter,"{Gain 1 gold} 
Pick a faction. Friendly Banter has that faction this turn.",Smallfolk Action,,,,,Personal Deck,,Jeffrey C. Viloria
The Lost Village,1,Mastery,,Mastery,Blue,,,,Mastery,,Helder Almeida
The Lost Village,1,Mastery,,Mastery,Green,,,,Mastery,,Helder Almeida
The Lost Village,1,Mastery,,Mastery,Red,,,,Mastery,,Helder Almeida
The Lost Village,1,Mastery,,Mastery,Yellow,,,,Mastery,,Helder Almeida
The Lost Village,1,Mastery,,Mastery,Favored,,,,Mastery,,Helder Almeida
The Lost Village,1,Clever Fox,,Minion ◆ Beast,Blue,,3,,Setting,,Siregar
The Lost Village,1,Clever Fox,,Minion ◆ Beast,Green,,3,,Setting,,Siregar
The Lost Village,1,Clever Fox,,Minion ◆ Beast,Red,,3,,Setting,,Siregar
The Lost Village,1,Clever Fox,,Minion ◆ Beast,Yellow,,3,,Setting,,Siregar
The Lost Village,1,Filthy Rat,,Minion ◆ Beast,Blue,,2,,Setting,,Ksenia Kozhevnikova
The Lost Village,1,Filthy Rat,,Minion ◆ Beast,Green,,2,,Setting,,Ksenia Kozhevnikova
The Lost Village,1,Filthy Rat,,Minion ◆ Beast,Yellow,,2,,Setting,,Ksenia Kozhevnikova
The Lost Village,1,Filthy Rat,,Minion ◆ Beast,Favored,,2,,Setting,,Ksenia Kozhevnikova
The Lost Village,1,Unnatural Fog,,Hazard,Blue,,,,Setting,,Grzegorz Pedrycz
The Lost Village,1,Unnatural Fog,,Hazard,Red,,,,Setting,,Grzegorz Pedrycz
The Lost Village,1,Warty Toad,,Minion ◆ Beast,Green,,4,,Setting,,David Auden Nash
The Lost Village,1,Warty Toad,,Minion ◆ Beast,Red,,4,,Setting,,David Auden Nash
The Lost Village,1,Warty Toad,,Minion ◆ Beast,Yellow,,4,,Setting,,David Auden Nash
The Lost Village,1,Berserk,,Action,Blue,,,,Encounter 1,,Andrés Agostini
The Lost Village,1,Berserk,,Action,Yellow,,,,Encounter 1,,Andrés Agostini
The Lost Village,1,Creeper Vines,,,Favored,,,,Encounter 1,,Laura Csajagi
The Lost Village,1,Roar,,,Red,,,,Encounter 1,,Shen Fei
The Lost Village,1,Roar,,,Yellow,,,,Encounter 1,,Shen Fei
The Lost Village,1,Trample,,,Green,,,,Encounter 1,,Joe Requeza
The Lost Village,1,Trample,,,Red,,,,Encounter 1,,Joe Requeza
The Lost Village,1,Infected Slash,,,Blue,,,,Encounter 1,,Souveraine
The Lost Village,1,Infected Slash,,,Green,,,,Encounter 1,,Souveraine
The Lost Village,1,Infected Slash,,,Favored,,,,Encounter 1,,Souveraine
The Lost Village,1,Chomping Goat,,Minion ◆ Beast,Blue,,4,,Encounter 2,,Sebastian Giacobino
The Lost Village,1,Chomping Goat,,Minion ◆ Beast,Red,,4,,Encounter 2,,Sebastian Giacobino
The Lost Village,1,Hunting Cougar,,Minion ◆ Beast,Green,,6,,Encounter 2,,Ksenia Kozhevnikova
The Lost Village,1,Hunting Cougar,,Minion ◆ Beast,Yellow,,6,,Encounter 2,,Ksenia Kozhevnikova
The Lost Village,1,Relentless Storm,,Action,Favored,,,,Encounter 2,,Siregar
The Lost Village,1,Swarming Rabbit,,Minion ◆ Beast,Blue,,2,,Encounter 2,,L. Sean
The Lost Village,1,Swarming Rabbit,,Minion ◆ Beast,Green,,2,,Encounter 2,,L. Sean
