"Set","Qty","Name","Text","Type","Faction / Color","Cost","Defense","Other","Role","Notes","Artist"
"Base Set","1","Arkus, Imperial Dragon","{Expend}: {Gain 5 combat} Draw a card.
<hr>
{Imperial Ally}: {Gain 6 health}","Champion ? Dragon","Imperial","8","6 Guard","","Market Deck","","Johnny Morrow"
"Base Set","1","Close Ranks","{Gain 5 combat}
+{2 combat} for each champion you have in play.
<hr>
{Imperial Ally}: {Gain 6 health}","Action","Imperial","3","","","Market Deck","","Apsara"
"Base Set","1","Command","{Gain 2 gold} {Gain 3 combat} {Gain 4 health}
Draw a card.","Action","Imperial","5","","","Market Deck","","Antonis Papantoniou"
"Base Set","1","Darian, War Mage","{Expend}: {Gain 3 combat} <i>or</i> {Gain 4 health}","Champion ? Human Mage","Imperial","4","5","","Market Deck","","Hannes Radke"
"Base Set","1","Domination","{Gain 6 combat} {Gain 6 health}
Draw a card.
<hr>
{Imperial Ally}: Prepare a champion.","Action","Imperial","7","","","Market Deck","","Antonis Papantoniou"
"Base Set","1","Cristov, the Just","{Expend}: {Gain 2 combat} {Gain 3 health}
<hr>
{Imperial Ally}: Draw a card.","Champion ? Human Paladin","Imperial","5","5 Guard","","Market Deck","","Ina Wong"
"Base Set","1","Kraka, High Priest","{Expend}: {Gain 2 health}
Draw a card.
<hr>
{Imperial Ally}: Gain {2 health} for each champion you have in play.","Champion ? Human Priest","Imperial","6","6","","Market Deck","","Richard Hanuschek"
"Base Set","2","Man-at-Arms","{Expend}: {Gain 2 combat} +{1 combat} for each other guard you have in play.","Champion ? Human Warrior","Imperial","3","4 Guard","","Market Deck","This card was printed with new artwork in the second edition, as shown.","Richard Hanuschek"
"Base Set","1","Master Weyan","{Expend}: {Gain 3 combat} +{1 combat} for each other champion you have in play.","Champion ? Human Monk","Imperial","4","4 Guard","","Market Deck","","Simon Aan"
"Base Set","1","Rally the Troops","{Gain 5 combat} {Gain 5 health}
<hr>
{Imperial Ally}: Prepare a champion.","Action","Imperial","4","","","Market Deck","","Johnny Morrow"
"Base Set","3","Recruit","{Gain 2 gold} {Gain 3 health}
+{1 health} for each champion you have in play.
<hr>
{Imperial Ally}: {Gain 1 gold}","Action","Imperial","2","","","Market Deck","","Johnny Morrow"
"Base Set","2","Tithe Priest","{Expend}: {Gain 1 gold}
<i>or</i>
Gain {1 health} for each champion you have in play.","Champion ? Human Priest","Imperial","2","3","","Market Deck","","Trevor Smith"
"Base Set","3","Taxation","{Gain 2 gold}
<hr>
{Imperial Ally}: {Gain 6 health}","Action","Imperial","1","","","Market Deck","","Dylan Stafford"
"Base Set","1","Word of Power","Draw two cards.
<hr>
{Imperial Ally}: {Gain 5 health}
<hr>
{Sacrifice}: {Gain 5 combat}","Action ? Spell","Imperial","6","","","Market Deck","","Johnny Morrow"
"Base Set","1","Borg, Ogre Mercenary","{Expend}: {Gain 4 combat}","Champion ? Ogre Warrior","Guild","6","6 Guard","","Market Deck","","L. Sean"
